sample_id,plasma_mL
PT_Penn_25,0.75
PT_Penn_1,0.75
PT_Penn_21,0.75
PT_Penn_18,0.75
PT_Penn_28,0.75
PT_Penn_17,0.75
PT_Penn_20,0.75
PT_Penn_23,0.75
PT_Penn_24,0.75
PT_Penn_5,0.75
PT_Penn_10,0.75
PT_Penn_12,0.75
PT_Penn_15,0.75
PT_Penn_4,0.75
T_Penn_7,0.75
T_Penn_11,0.75
T_Penn_26,0.75
T_Penn_6,0.75
T_Penn_8,0.75
T_Penn_9,0.75
T_Penn_14,0.75
T_Penn_19,0.75
T_Penn_22,0.75
T_Penn_2,0.75
T_Penn_3,0.75
T_Penn_13,0.75
T_Penn_16,0.75
T_Penn_27,0.75
PT_UAB_1,1
PT_UAB_2,1
PT_UAB_3,1
PT_UAB_4,1
PT_UAB_5,1
PT_UAB_6,1
PT_UAB_7,1
PT_UAB_8,1
T_UAB_9,1
T_UAB_10,1
T_UAB_11,1
T_UAB_12,1
T_UAB_13,1
T_UAB_14,1
T_UAB_15,1
T_UAB_16,1
T_UAB_17,1
T_UAB_18,1
T_UAB_19,1
T_UAB_20,1
T_UAB_21,1
T_UAB_22,1
T_UAB_23,1
T_UAB_24,1
T_UAB_25,1
T_UAB_26,1
T_UAB_27,1
T_UAB_28,1
P001_1,3
P001_2,3
P001_3,3
P001_4,3
P001_5,3
P001_6,3
P001_7,3
P001_8,3
P001_9,3
P001_10,3
P001_11,3
P001_12,3
P001_13,3
P001_14,3
P001_15,3
P001_16,3
P001_17,3
P001_18,3
P001_19,3
P001_20,3
P001_21,3
P001_22,3
P001_23,3
P001_24,3
P001_25,3
P001_26,3
P002_1,3
P002_2,3
P002_3,3
P002_4,3
P002_5,3
P002_6,3
P002_7,3
P002_8,3
P002_9,3
P002_10,3
P002_11,3
P002_12,3
P002_13,3
P002_14,3
P002_15,3
P002_16,3
P002_17,3
P002_18,3
P002_19,3
P002_20,3
P002_21,3
P002_22,3
P002_23,3
P002_24,3
P002_25,3
P002_26,3
P003_1,3
P003_2,3
P003_3,3
P003_4,3
P003_5,3
P003_6,3
P003_7,3
P003_8,3
P003_9,3
P003_10,3
P003_11,3
P003_12,3
P003_13,3
P003_14,3
P003_15,3
P003_16,3
P003_17,3
P003_18,3
P003_19,3
P003_20,3
P003_21,3
P003_22,3
P003_23,3
P003_24,3
P003_25,3
P003_26,3
P003_27,3
P003_28,3
P003_29,3
P003_30,3
P003_31,3
P003_32,3
P003_33,3
P003_34,3
P003_35,3
P003_36,3
P003_37,3
P004_1,3
P004_2,3
P004_3,3
